,precision,recall,f1-score,support
Brocoli_green_weeds_1,1.0,0.9228855721393034,0.9598965071151359,402.0
Brocoli_green_weeds_2,0.96,0.9986577181208054,0.9789473684210527,745.0
Fallow,0.9776119402985075,0.9949367088607595,0.986198243412798,395.0
Fallow_rough_plow,0.9892086330935251,0.985663082437276,0.9874326750448833,279.0
Fallow_smooth,0.9833333333333333,0.9906716417910447,0.9869888475836431,536.0
Stubble,0.9987389659520807,1.0,0.9993690851735015,792.0
Celery,0.99721059972106,0.9986033519553073,0.9979064898813678,716.0
Grapes_untrained,0.8132657372201099,0.8540372670807453,0.8331529971867561,2254.0
Soil_vinyard_develop,0.9927826784282278,0.9975825946817083,0.9951768488745981,1241.0
Corn_senesced_green_weeds,0.9669811320754716,0.9375,0.9520123839009288,656.0
Lettuce_romaine_4wk,0.9485981308411215,0.9530516431924883,0.9508196721311475,213.0
Lettuce_romaine_5wk,0.9697732997481109,1.0,0.9846547314578005,385.0
Lettuce_romaine_6wk,0.9576719576719577,0.9890710382513661,0.9731182795698925,183.0
Lettuce_romaine_7wk,0.9714285714285714,0.9532710280373832,0.9622641509433962,214.0
Vinyard_untrained,0.7663410969196093,0.7015130674002751,0.7324955116696589,1454.0
Vinyard_vertical_trellis,0.9916434540389972,0.9861495844875346,0.9888888888888889,361.0
accuracy,0.9188989469794938,0.9188989469794938,0.9188989469794938,0.9188989469794938
macro avg,0.9552868456731678,0.9539746436522498,0.9543326675784656,10826.0
weighted avg,0.9183167917105227,0.9188989469794938,0.9181954774970555,10826.0
