,precision,recall,f1-score,support
Brocoli_green_weeds_1,0.9949748743718593,0.9850746268656716,0.99,402.0
Brocoli_green_weeds_2,0.9919571045576407,0.9932885906040269,0.9926224010731053,745.0
Fallow,0.9559902200488998,0.9898734177215189,0.972636815920398,395.0
Fallow_rough_plow,0.9618055555555556,0.992831541218638,0.9770723104056437,279.0
Fallow_smooth,0.9904397705544933,0.9664179104477612,0.9782813975448537,536.0
Stubble,0.9974619289340102,0.9924242424242424,0.9949367088607595,792.0
Celery,0.9943741209563994,0.9874301675977654,0.9908899789768746,716.0
Grapes_untrained,0.7012365376944555,0.7799467613132209,0.7385003150598614,2254.0
Soil_vinyard_develop,0.9879032258064516,0.9871071716357775,0.9875050382910117,1241.0
Corn_senesced_green_weeds,0.8537666174298375,0.8810975609756098,0.8672168042010503,656.0
Lettuce_romaine_4wk,0.8326693227091634,0.9812206572769953,0.9008620689655172,213.0
Lettuce_romaine_5wk,0.9458128078817734,0.9974025974025974,0.9709228824273072,385.0
Lettuce_romaine_6wk,0.9470899470899471,0.9781420765027322,0.9623655913978495,183.0
Lettuce_romaine_7wk,0.9420289855072463,0.9112149532710281,0.9263657957244655,214.0
Vinyard_untrained,0.6311111111111111,0.48830811554332876,0.550601008142691,1454.0
Vinyard_vertical_trellis,0.9529085872576177,0.9529085872576177,0.9529085872576177,361.0
accuracy,0.8680029558470349,0.8680029558470349,0.8680029558470349,0.8680029558470349
macro avg,0.9175956698416539,0.9290430611286582,0.9221054815155629,10826.0
weighted avg,0.8648138685032474,0.8680029558470349,0.8645566228648482,10826.0
