,Brocoli_green_weeds_1,Brocoli_green_weeds_2,Fallow,Fallow_rough_plow,Fallow_smooth,Stubble,Celery,Grapes_untrained,Soil_vinyard_develop,Corn_senesced_green_weeds,Lettuce_romaine_4wk,Lettuce_romaine_5wk,Lettuce_romaine_6wk,Lettuce_romaine_7wk,Vinyard_untrained,Vinyard_vertical_trellis
Brocoli_green_weeds_1,396,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brocoli_green_weeds_2,1,740,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Fallow,0,0,391,0,1,0,0,0,0,0,2,1,0,0,0,0
Fallow_rough_plow,0,0,0,277,2,0,0,0,0,0,0,0,0,0,0,0
Fallow_smooth,0,0,4,10,518,1,0,0,0,0,2,0,0,1,0,0
Stubble,0,0,0,1,0,786,0,3,0,1,0,0,0,1,0,0
Celery,0,0,0,0,1,0,707,5,0,0,0,0,0,0,0,3
Grapes_untrained,0,0,1,0,0,0,0,1758,1,67,10,0,1,0,415,1
Soil_vinyard_develop,0,0,0,0,0,0,0,0,1225,5,7,4,0,0,0,0
Corn_senesced_green_weeds,1,0,12,0,1,0,0,14,13,578,20,14,0,1,0,2
Lettuce_romaine_4wk,0,0,0,0,0,1,0,0,1,0,209,2,0,0,0,0
Lettuce_romaine_5wk,0,0,0,0,0,0,0,0,0,0,1,384,0,0,0,0
Lettuce_romaine_6wk,0,0,0,0,0,0,0,0,0,0,0,0,179,4,0,0
Lettuce_romaine_7wk,0,0,0,0,0,0,0,7,0,3,0,1,8,195,0,0
Vinyard_untrained,0,0,1,0,0,0,0,709,0,21,0,0,0,5,710,8
Vinyard_vertical_trellis,0,0,0,0,0,0,3,11,0,2,0,0,1,0,0,344
