,precision,recall,f1-score,support
Brocoli_green_weeds_1,0.0,0.0,0.0,402.0
Brocoli_green_weeds_2,0.5902140672782875,0.7771812080536913,0.6709154113557358,745.0
Fallow,0.8770491803278688,0.5417721518987342,0.6697965571205008,395.0
Fallow_rough_plow,0.4027072758037225,0.8530465949820788,0.5471264367816092,279.0
Fallow_smooth,0.9491833030852994,0.9757462686567164,0.9622815087396505,536.0
Stubble,0.9936628643852978,0.98989898989899,0.9917773561037319,792.0
Celery,0.7221654749744637,0.9874301675977654,0.8342182890855457,716.0
Grapes_untrained,0.5834245076586433,0.9463176574977817,0.7218274111675127,2254.0
Soil_vinyard_develop,0.9677165354330709,0.9903303787268332,0.9788928713659897,1241.0
Corn_senesced_green_weeds,0.7549019607843137,0.586890243902439,0.660377358490566,656.0
Lettuce_romaine_4wk,0.973404255319149,0.8591549295774648,0.912718204488778,213.0
Lettuce_romaine_5wk,0.7156488549618321,0.974025974025974,0.8250825082508251,385.0
Lettuce_romaine_6wk,0.9067357512953368,0.9562841530054644,0.9308510638297872,183.0
Lettuce_romaine_7wk,0.40350877192982454,0.10747663551401869,0.16974169741697417,214.0
Vinyard_untrained,0.0,0.0,0.0,1454.0
Vinyard_vertical_trellis,0.78839590443686,0.6398891966759003,0.7064220183486238,361.0
accuracy,0.7185479401440975,0.7185479401440975,0.7185479401440975,0.7185479401440975
macro avg,0.664294919229623,0.6990902843758657,0.6613767932841144,10826.0
weighted avg,0.6227838591505833,0.7185479401440975,0.6525390626436118,10826.0
