,Brocoli_green_weeds_1,Brocoli_green_weeds_2,Fallow,Fallow_rough_plow,Fallow_smooth,Stubble,Celery,Grapes_untrained,Soil_vinyard_develop,Corn_senesced_green_weeds,Lettuce_romaine_4wk,Lettuce_romaine_5wk,Lettuce_romaine_6wk,Lettuce_romaine_7wk,Vinyard_untrained,Vinyard_vertical_trellis
Brocoli_green_weeds_1,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brocoli_green_weeds_2,0,579,0,0,0,0,162,1,0,0,0,0,0,0,0,3
Fallow,0,0,214,0,4,0,0,0,2,69,0,106,0,0,0,0
Fallow_rough_plow,0,0,0,238,15,0,0,13,0,0,0,0,0,13,0,0
Fallow_smooth,0,0,2,8,523,0,0,0,0,2,0,0,1,0,0,0
Stubble,0,0,0,5,0,784,0,3,0,0,0,0,0,0,0,0
Celery,0,0,0,0,1,0,707,2,0,0,0,0,0,0,0,6
Grapes_untrained,0,0,1,59,1,0,1,2133,2,15,1,2,6,8,0,25
Soil_vinyard_develop,0,0,2,0,0,0,0,0,1229,7,0,3,0,0,0,0
Corn_senesced_green_weeds,0,0,14,125,2,5,1,41,31,385,4,33,2,10,0,3
Lettuce_romaine_4wk,0,0,2,0,1,0,0,0,6,18,183,3,0,0,0,0
Lettuce_romaine_5wk,0,0,2,0,0,0,0,0,0,8,0,375,0,0,0,0
Lettuce_romaine_6wk,0,0,1,1,1,0,0,0,0,3,0,0,175,2,0,0
Lettuce_romaine_7wk,0,0,6,131,0,0,0,44,0,3,0,1,6,23,0,0
Vinyard_untrained,0,0,0,23,2,0,0,1401,0,0,0,1,1,1,0,25
Vinyard_vertical_trellis,0,0,0,1,1,0,108,18,0,0,0,0,2,0,0,231
