,precision,recall,f1-score,support
Brocoli_green_weeds_1,1.0,0.9800995024875622,0.9899497487437185,402.0
Brocoli_green_weeds_2,0.9893617021276596,0.9986577181208054,0.9939879759519038,745.0
Fallow,0.9634146341463414,1.0,0.9813664596273292,395.0
Fallow_rough_plow,0.996415770609319,0.996415770609319,0.996415770609319,279.0
Fallow_smooth,0.996268656716418,0.996268656716418,0.996268656716418,536.0
Stubble,0.9987389659520807,1.0,0.9993690851735015,792.0
Celery,1.0,0.9986033519553073,0.9993011879804332,716.0
Grapes_untrained,0.8279109589041096,0.8580301685891748,0.8427015250544663,2254.0
Soil_vinyard_develop,0.99597747385358,0.9975825946817083,0.9967793880837359,1241.0
Corn_senesced_green_weeds,0.9763406940063092,0.9435975609756098,0.9596899224806201,656.0
Lettuce_romaine_4wk,0.9439252336448598,0.9483568075117371,0.9461358313817331,213.0
Lettuce_romaine_5wk,0.9649122807017544,1.0,0.9821428571428571,385.0
Lettuce_romaine_6wk,0.9732620320855615,0.994535519125683,0.9837837837837838,183.0
Lettuce_romaine_7wk,0.9855769230769231,0.9579439252336449,0.9715639810426541,214.0
Vinyard_untrained,0.773792093704246,0.7269601100412655,0.749645390070922,1454.0
Vinyard_vertical_trellis,0.9944444444444445,0.9916897506925207,0.9930651872399445,361.0
accuracy,0.9266580454461482,0.9266580454461482,0.9266580454461482,0.9266580454461482
macro avg,0.9612713664983504,0.9617963397962972,0.9613854219427087,10826.0
weighted avg,0.9261850375239535,0.9266580454461482,0.9262155544182451,10826.0
