,precision,recall,f1-score,support
Papaya,1.0,1.0,1.0,100.0
Coffee,1.0,0.99,0.9949748743718593,100.0
Pomegranate,1.0,1.0,1.0,100.0
Orange,1.0,1.0,1.0,100.0
Tea,0.9897959183673469,0.97,0.9797979797979798,100.0
Wine,0.970873786407767,1.0,0.9852216748768473,100.0
Whisky,0.9183673469387755,0.9,0.9090909090909091,100.0
Rum,0.9320388349514563,0.96,0.9458128078817734,100.0
Brandy,0.9696969696969697,0.96,0.964824120603015,100.0
accuracy,0.9755555555555555,0.9755555555555555,0.9755555555555555,0.9755555555555555
macro avg,0.9756414284847017,0.9755555555555557,0.9755247074024871,900.0
weighted avg,0.9756414284847018,0.9755555555555555,0.975524707402487,900.0
