selected_rank,zero_based_band_index,one_based_band_number,anova_f_score
62,61,62,29092.925473015657
60,59,60,29017.741802120905
61,60,61,28840.2309133386
63,62,63,28535.202586288124
64,63,64,28409.36151021773
58,57,58,28332.461363474962
59,58,59,28287.931315609938
57,56,57,27978.305608072595
56,55,56,27808.43024117203
65,64,65,27753.04776689204
66,65,66,27331.573918178092
55,54,55,27196.779220617933
69,68,69,27086.156215061186
68,67,68,27018.550829795404
67,66,67,26932.59288228155
70,69,70,26891.45706811802
54,53,54,26795.97253024341
53,52,53,26715.667733288352
52,51,52,26300.76381766163
71,70,71,26253.366336650786
51,50,51,26083.278506940413
72,71,72,25684.197853970127
73,72,73,25473.252036347287
50,49,50,25229.093155985
74,73,74,25215.498701450422
75,74,75,25096.808310826007
49,48,49,25026.739667628965
76,75,76,24698.638370569683
48,47,48,24598.121778915156
77,76,77,24383.781591972045
47,46,47,24368.31692789761
78,77,78,24098.13417366568
79,78,79,23877.030002671672
46,45,46,23869.05812714264
45,44,45,23508.81753986532
80,79,80,23491.46912010769
44,43,44,23058.23730889655
81,80,81,22827.88237046254
43,42,43,22576.875185419907
82,81,82,22443.61577984882
83,82,83,22065.06642704096
42,41,42,22052.458507663563
41,40,41,21792.004827309658
84,83,84,21461.454674357774
40,39,40,21095.776523666922
85,84,85,20982.525544737295
39,38,39,20659.245395191574
86,85,86,20438.550249305896
38,37,38,20202.81133123173
87,86,87,20061.577183749356
37,36,37,19825.274217599283
36,35,36,19719.85162357859
88,87,88,19667.210774866682
35,34,35,19273.023185342627
89,88,89,19189.96024361731
90,89,90,18816.522918186278
34,33,34,18573.297889776182
91,90,91,18298.6797819295
33,32,33,18012.941791554902
92,91,92,17827.50127011242
32,31,32,17618.37873312208
93,92,93,17402.35146006448
31,30,31,17329.27944092438
94,93,94,17160.242600707377
30,29,30,16746.132619639593
95,94,95,16709.35225206292
29,28,29,16417.328578785924
96,95,96,16294.513550207825
28,27,28,16133.815760969153
97,96,97,15806.994082898433
27,26,27,15761.551020938188
26,25,26,15454.16463125627
98,97,98,15410.612344697845
25,24,25,15238.496893108422
24,23,24,15124.036122173047
99,98,99,14981.37010813355
23,22,23,14878.15173456087
100,99,100,14522.74489223914
22,21,22,14367.729474553107
101,100,101,14135.320390657407
21,20,21,13958.255239595426
102,101,102,13689.297032558246
20,19,20,13542.238943160331
103,102,103,13403.22796240804
19,18,19,13397.36807093
104,103,104,13140.4826829868
18,17,18,13135.914909123909
17,16,17,12990.496919879073
16,15,16,12880.706414387401
105,104,105,12858.902692429043
15,14,15,12670.916869901843
106,105,106,12622.564857753146
14,13,14,12391.50315504594
107,106,107,12364.509950378157
108,107,108,12182.703760404282
13,12,13,12079.55246053136
12,11,12,11955.487597717285
11,10,11,11927.086308816015
109,108,109,11869.183989100147
10,9,10,11748.564203883701
110,109,110,11722.102548330668
9,8,9,11554.72748325424
111,110,111,11353.95938703242
8,7,8,11238.781114047551
112,111,112,11122.278027504597
7,6,7,10926.580435233433
6,5,6,10791.983935380375
113,112,113,10732.75199218708
114,113,114,10618.98422944192
5,4,5,10597.485257477574
115,114,115,10496.752658474621
4,3,4,10461.38306970941
2,1,2,10453.537135871067
3,2,3,10432.522227713092
1,0,1,10428.563373725134
147,173,174,10334.003798431724
146,172,173,10293.746602923606
116,115,116,10278.662206761388
145,171,172,10235.444288069022
148,174,175,10231.734399573164
142,168,169,10224.88915508259
143,169,170,10193.985886838356
144,170,171,10177.026341070738
149,175,176,10170.286005925474
117,116,117,10079.830059724978
151,177,178,10066.506028024687
141,167,168,10055.872225610168
140,166,167,10037.558390086575
150,176,177,10036.321930325334
139,165,166,10012.146114767655
138,164,165,10006.862902281677
152,178,179,9988.179074535736
153,179,180,9940.664901176156
118,117,118,9902.162348012098
135,161,162,9896.237340507047
137,163,164,9887.052112695483
136,162,163,9864.394755880783
134,160,161,9857.37202577818
154,180,181,9828.084163967405
133,159,160,9823.028895457666
155,181,182,9782.79363860981
119,118,119,9777.14014403656
156,182,183,9773.517054143467
157,183,184,9720.58329699321
131,157,158,9698.358060999368
132,158,159,9673.365367097587
158,184,185,9637.808291779838
129,155,156,9633.511227392875
120,119,120,9592.976143278269
130,156,157,9591.441376073366
128,154,155,9489.648152920368
159,185,186,9477.283118895128
127,153,154,9452.788956983324
160,186,187,9410.23834136958
121,120,121,9399.871260140184
126,152,153,9395.923457371526
161,187,188,9365.641657636856
124,150,151,9361.329677408308
125,151,152,9336.762044909603
122,121,122,9253.079434499265
162,188,189,9243.934028945347
123,122,123,9227.547646549097
